Disease,Locality,Latitude,Longitude,Reported Cases,Severity,Source,Date
Hepatitis,MG Road,13.074531,77.763853,298,High,Local Hospital,2024-08-10
Dengue,Bellandur,12.957004,77.720049,22,Low,Local Hospital,2024-11-06
Cholera,Basavanagudi,12.908222,77.665994,347,Low,HealthMap,2024-08-11
Zika Virus,Gandhinagar,13.165042,77.707899,262,Low,CDC,2024-11-17
Zika Virus,Whitefield,13.146246,77.59906,166,Medium,WHO,2024-07-17
COVID-19,Nagarbhavi,13.15869,77.655707,202,Low,WHO,2024-11-10
Malaria,Ulsoor,13.043465,77.781982,450,Low,User Report,2024-03-11
Malaria,Ulsoor,12.844018,77.556265,79,High,WHO,2024-08-30
Tuberculosis,Whitefield,13.142488,77.567166,416,High,Local Hospital,2024-11-23
Cholera,Rajajinagar,13.171304,77.728169,13,Medium,Local Hospital,2024-03-22
Tuberculosis,Koramangala,12.813316,77.503399,125,Medium,User Report,2024-03-14
Dengue,Gandhinagar,13.055854,77.556139,29,High,User Report,2024-05-24
Tuberculosis,Dasarahalli,13.094708,77.758786,133,Low,WHO,2024-12-05
Zika Virus,Devanahalli,13.111301,77.763427,365,High,Local Hospital,2024-04-09
Cholera,Devanahalli,13.180073,77.59616,140,Medium,WHO,2024-03-17
Malaria,JP Nagar,13.153639,77.60627,416,Low,User Report,2024-11-25
Malaria,HSR Layout,12.933647,77.682174,58,High,User Report,2024-03-20
COVID-19,Electronic City,13.081631,77.61601,340,Low,HealthMap,2024-05-09
Zika Virus,Hennur,12.910307,77.60345,375,Low,CDC,2024-03-17
Swine Flu,Vijayanagar,13.195049,77.79835,390,Low,HealthMap,2024-05-14
Malaria,Jayanagar,13.121028,77.769351,397,Low,CDC,2024-08-02
Tuberculosis,RT Nagar,12.956339,77.711129,125,Medium,CDC,2024-10-12
Tuberculosis,Shivajinagar,12.97782,77.610725,436,High,WHO,2024-09-22
Cholera,HSR Layout,13.195119,77.504251,155,Medium,CDC,2024-10-13
Malaria,Kadugodi,12.888461,77.68886,344,High,User Report,2024-04-28
Cholera,Hulimavu,13.007243,77.566871,406,High,CDC,2024-10-21
Tuberculosis,Rajajinagar,12.812064,77.547057,374,High,HealthMap,2024-07-18
Cholera,Kadugodi,13.11572,77.566116,479,Low,WHO,2024-07-01
Tuberculosis,Kadugodi,13.079133,77.60409,119,Medium,WHO,2024-05-17
Tuberculosis,Ulsoor,12.966336,77.643585,77,High,HealthMap,2024-06-21
COVID-19,Lalbagh,12.874466,77.775991,47,High,WHO,2024-05-18
Dengue,Gandhinagar,13.01707,77.752796,70,High,WHO,2024-07-22
Zika Virus,Indiranagar,13.199368,77.714713,436,High,WHO,2024-12-16
COVID-19,Sahakar Nagar,12.939101,77.602931,137,High,User Report,2024-03-28
Dengue,Chickpet,12.96726,77.725042,49,Low,WHO,2024-09-10
Zika Virus,Hulimavu,13.136214,77.593849,378,Low,CDC,2024-01-24
Cholera,Hulimavu,13.125153,77.516232,412,Medium,HealthMap,2024-03-30
Tuberculosis,Bommanahalli,12.904706,77.576949,16,High,User Report,2024-04-10
COVID-19,Hulimavu,13.188402,77.621645,382,Low,WHO,2024-06-01
Cholera,KR Puram,12.813802,77.633155,161,Low,WHO,2024-02-01
Malaria,Sahakar Nagar,13.05732,77.567615,144,Low,HealthMap,2024-07-06
Swine Flu,Wilson Garden,12.979078,77.73857,491,High,User Report,2024-01-23
Malaria,Whitefield,13.129516,77.726749,285,Low,User Report,2024-05-23
Dengue,Koramangala,12.893192,77.669965,447,Low,User Report,2024-10-11
COVID-19,Lalbagh,13.172288,77.745802,31,High,Local Hospital,2024-03-19
Hepatitis,Kasturi Nagar,12.997789,77.660783,209,Medium,WHO,2024-11-13
Swine Flu,HSR Layout,13.049845,77.75901,31,Medium,User Report,2024-08-02
Malaria,Kasturi Nagar,13.11082,77.720085,67,High,CDC,2024-01-21
Cholera,Hennur,13.066492,77.758949,164,High,CDC,2024-01-11
Hepatitis,Peenya,13.096531,77.606221,252,Low,HealthMap,2024-11-09
Swine Flu,Majestic,13.139374,77.757688,147,Low,HealthMap,2024-02-15
Cholera,Basavanagudi,13.002785,77.535728,479,Medium,Local Hospital,2024-03-13
Zika Virus,Whitefield,12.847976,77.745684,158,Low,User Report,2024-06-04
Tuberculosis,Sahakar Nagar,13.045173,77.517601,493,High,HealthMap,2024-06-20
Zika Virus,Wilson Garden,12.975052,77.65418,58,High,User Report,2024-08-25
Dengue,Peenya,13.139584,77.7303,466,High,HealthMap,2024-02-02
Malaria,Hebbal,13.161003,77.571797,408,High,WHO,2024-11-09
COVID-19,Hulimavu,13.045903,77.63526,227,Low,CDC,2024-04-01
Hepatitis,Kadugodi,12.995058,77.554301,95,Low,Local Hospital,2024-11-10
Dengue,Kadugodi,12.874119,77.501611,475,Medium,HealthMap,2024-05-03
Tuberculosis,Majestic,13.06231,77.637092,159,High,CDC,2024-04-30
Zika Virus,Malleshwaram,12.80838,77.635788,478,High,CDC,2024-09-27
Hepatitis,Malleshwaram,13.024236,77.533499,393,Medium,Local Hospital,2024-11-09
Zika Virus,Chickpet,12.811799,77.75823,478,Medium,Local Hospital,2024-09-08
Swine Flu,Malleshwaram,13.168369,77.699938,312,Low,WHO,2024-01-16
Dengue,Whitefield,13.023689,77.603842,360,High,Local Hospital,2024-06-29
COVID-19,Lalbagh,12.857137,77.785149,392,Medium,WHO,2024-10-20
Hepatitis,Gandhinagar,12.86751,77.581134,313,Low,CDC,2024-05-20
Swine Flu,HBR Layout,13.178593,77.552775,133,High,WHO,2024-09-28
Cholera,Jayanagar,13.078743,77.63657,26,Low,User Report,2024-11-12
Tuberculosis,JP Nagar,12.936069,77.661294,20,Low,HealthMap,2024-10-08
Dengue,Whitefield,13.080342,77.787088,150,Low,WHO,2024-10-19
Cholera,Domlur,12.859425,77.780788,180,High,WHO,2024-07-28
Cholera,Marathahalli,13.030192,77.721239,50,Low,User Report,2024-04-28
COVID-19,Hebbal,12.994572,77.637022,468,Medium,CDC,2024-01-01
COVID-19,Chickpet,12.959334,77.560757,257,High,HealthMap,2024-12-03
Malaria,Sahakar Nagar,13.09001,77.68092,490,Low,HealthMap,2024-07-21
Malaria,Lalbagh,13.170567,77.657038,186,Medium,Local Hospital,2024-09-26
Tuberculosis,Hennur,13.075782,77.625761,237,High,Local Hospital,2024-07-31
Tuberculosis,Vijayanagar,13.018087,77.514888,267,High,HealthMap,2024-10-31
Dengue,JP Nagar,12.951966,77.632921,119,Low,Local Hospital,2024-04-26
Hepatitis,RT Nagar,12.964559,77.55608,112,High,HealthMap,2024-07-09
Hepatitis,BTM Layout,13.115651,77.568111,342,High,Local Hospital,2024-08-13
COVID-19,KR Market,12.907666,77.65601,171,Medium,User Report,2024-02-18
Hepatitis,Dasarahalli,13.04423,77.724178,251,High,Local Hospital,2024-04-01
Hepatitis,HBR Layout,13.12083,77.79366,467,High,HealthMap,2024-10-24
Malaria,KR Market,12.997279,77.507443,362,Low,User Report,2024-07-16
Hepatitis,Bommanahalli,12.942452,77.56694,318,Medium,WHO,2024-05-27
COVID-19,Jayanagar,12.95754,77.525987,58,Medium,WHO,2024-11-08
Tuberculosis,Shivajinagar,13.193395,77.543741,319,Medium,CDC,2024-01-16
Malaria,MG Road,12.991876,77.529402,292,Medium,Local Hospital,2024-02-08
Dengue,Kengeri,12.942921,77.556875,391,Medium,User Report,2024-11-29
Dengue,Hennur,12.91146,77.578137,68,Low,User Report,2024-04-15
Swine Flu,Banashankari,13.025583,77.73699,130,High,Local Hospital,2024-03-20
Zika Virus,Shivajinagar,13.002815,77.750039,366,High,Local Hospital,2024-08-06
COVID-19,Vijayanagar,13.005042,77.794398,410,Low,CDC,2024-03-02
Malaria,Vijayanagar,12.996479,77.523193,51,Medium,HealthMap,2024-03-04
Tuberculosis,Electronic City,12.94633,77.588892,441,High,HealthMap,2024-12-16
Malaria,Hoodi,12.949138,77.578242,279,Low,Local Hospital,2024-03-02
Tuberculosis,KR Puram,12.854216,77.606776,237,High,WHO,2024-07-03
Cholera,TC Palya,13.181802,77.782908,282,High,HealthMap,2024-09-07
COVID-19,Dasarahalli,12.852092,77.623588,162,Medium,HealthMap,2024-08-11
COVID-19,JP Nagar,13.147759,77.681297,110,Medium,Local Hospital,2024-08-07
Hepatitis,Marathahalli,12.980898,77.772429,80,Medium,HealthMap,2024-09-22
Swine Flu,Kasturi Nagar,13.040205,77.736172,180,Medium,HealthMap,2024-07-27
Swine Flu,MG Road,13.159716,77.663433,105,Medium,User Report,2024-10-12
Swine Flu,Sahakar Nagar,12.84589,77.557833,215,Low,HealthMap,2024-12-30
Dengue,Yelahanka,13.056909,77.79655,371,Medium,CDC,2024-07-12
Malaria,Gandhinagar,12.881958,77.521357,151,Low,CDC,2024-01-02
COVID-19,Bommanahalli,13.184575,77.58367,456,Medium,User Report,2024-06-29
COVID-19,BTM Layout,12.814746,77.741126,338,High,HealthMap,2024-05-23
Tuberculosis,Nagarbhavi,12.940081,77.689186,373,Medium,WHO,2024-03-02
Malaria,Basavanagudi,13.041187,77.531601,341,High,CDC,2024-02-06
Dengue,Kengeri,13.092954,77.625558,48,High,WHO,2024-02-08
Cholera,Peenya,13.068901,77.662036,145,Low,Local Hospital,2024-04-27
Zika Virus,Gandhinagar,13.136347,77.64319,338,Medium,User Report,2024-11-12
Hepatitis,KR Puram,13.125576,77.520942,292,High,Local Hospital,2024-01-04
Dengue,Magadi Road,13.181284,77.591953,28,High,CDC,2024-08-08
Tuberculosis,Varthur,13.072127,77.713696,496,Low,WHO,2024-01-17
Swine Flu,Kammanahalli,13.140559,77.566038,138,Low,WHO,2024-06-26
Zika Virus,Peenya,13.005822,77.534034,461,Medium,User Report,2024-09-08
Hepatitis,Chickpet,13.129388,77.539782,355,Medium,Local Hospital,2024-08-11
Zika Virus,Hulimavu,12.900238,77.537616,85,High,Local Hospital,2024-03-08
Zika Virus,Banaswadi,13.128881,77.724047,45,Medium,HealthMap,2024-01-24
Hepatitis,RT Nagar,12.979185,77.545604,154,Medium,CDC,2024-08-26
COVID-19,TC Palya,13.025238,77.69236,160,Low,HealthMap,2024-04-20
Dengue,Kanakapura Road,12.857015,77.790139,439,Low,HealthMap,2024-08-10
Cholera,Peenya,12.81134,77.68467,472,Medium,Local Hospital,2024-01-17
COVID-19,Mysore Road,12.92375,77.521723,350,Medium,User Report,2024-12-11
Zika Virus,RT Nagar,12.832077,77.516158,306,Medium,WHO,2024-09-02
Zika Virus,Bellandur,13.086092,77.794777,491,Medium,User Report,2024-05-11
Hepatitis,Hennur,12.969996,77.746948,57,Low,WHO,2024-07-10
COVID-19,Ulsoor,12.938045,77.524029,242,High,HealthMap,2024-01-31
COVID-19,Majestic,13.087157,77.679735,324,Low,Local Hospital,2024-02-28
Zika Virus,Koramangala,13.086862,77.578947,340,Low,HealthMap,2024-07-07
Dengue,Varthur,13.113324,77.500709,499,Medium,CDC,2024-03-20
Swine Flu,Malleshwaram,12.954749,77.604846,111,Medium,Local Hospital,2024-04-23
Zika Virus,TC Palya,12.996852,77.643191,450,Medium,CDC,2024-12-20
Dengue,Varthur,13.1627,77.733362,473,Low,HealthMap,2024-12-03
Malaria,Mysore Road,13.002461,77.667596,31,High,CDC,2024-10-02
Malaria,Bommanahalli,13.03747,77.510207,211,High,HealthMap,2024-09-30
Malaria,Majestic,13.144614,77.503671,19,High,Local Hospital,2024-05-27
Dengue,Wilson Garden,12.871671,77.770909,188,High,WHO,2024-12-02
Swine Flu,Hennur,13.181551,77.617205,297,Low,HealthMap,2024-02-08
Swine Flu,Sahakar Nagar,13.16226,77.625482,462,High,Local Hospital,2024-03-18
Zika Virus,Peenya,13.00749,77.793767,90,Low,HealthMap,2024-12-27
Swine Flu,Yelahanka,12.839053,77.745691,192,High,CDC,2024-12-26
Malaria,Peenya,12.986497,77.502677,318,High,Local Hospital,2024-07-01
COVID-19,Hebbal,12.955377,77.706789,451,High,WHO,2024-12-18
Malaria,Hoodi,13.130592,77.697315,206,Medium,User Report,2024-10-31
Cholera,Ramamurthy Nagar,13.135701,77.566329,369,Medium,CDC,2024-08-28
Swine Flu,Gandhinagar,13.090994,77.774337,34,Medium,HealthMap,2024-07-26
Malaria,Bellandur,12.96769,77.707124,463,Medium,HealthMap,2024-07-23
Dengue,Chickpet,13.176148,77.699295,161,Medium,CDC,2024-09-23
Swine Flu,Bellandur,12.971902,77.512433,119,High,WHO,2024-02-21
Tuberculosis,Majestic,13.112409,77.580134,12,High,WHO,2024-07-11
Hepatitis,Whitefield,12.906254,77.611715,377,Low,CDC,2024-12-30
Swine Flu,Banaswadi,12.870967,77.749861,451,High,User Report,2024-01-12
Malaria,Rajajinagar,12.893265,77.724575,388,High,HealthMap,2024-07-05
COVID-19,Kadugodi,13.111814,77.65749,458,High,CDC,2024-05-10
Zika Virus,Kasturi Nagar,12.936116,77.643261,72,Medium,CDC,2024-11-08
Cholera,HSR Layout,12.884243,77.78872,62,High,HealthMap,2024-12-13
Tuberculosis,Majestic,13.037452,77.70788,399,High,User Report,2024-08-31
Swine Flu,Magadi Road,12.8927,77.724776,175,Medium,CDC,2024-09-01
Malaria,Kammanahalli,12.888607,77.618528,181,Low,WHO,2024-05-04
Cholera,MG Road,13.034817,77.723206,423,Medium,User Report,2024-11-16
Zika Virus,Domlur,13.092725,77.754725,466,Low,WHO,2024-05-11
Malaria,TC Palya,13.125405,77.635581,157,High,Local Hospital,2024-04-25
Cholera,Sahakar Nagar,13.071541,77.785253,60,Low,Local Hospital,2024-08-22
Malaria,Bellandur,13.021489,77.705664,467,Low,Local Hospital,2024-01-23
COVID-19,Nagarbhavi,13.177186,77.683431,413,High,HealthMap,2024-01-19
Hepatitis,Vijayanagar,12.921405,77.558639,493,High,Local Hospital,2024-01-12
COVID-19,TC Palya,13.018825,77.664207,371,High,WHO,2024-07-08
COVID-19,RT Nagar,13.16483,77.661225,352,High,Local Hospital,2024-03-12
Hepatitis,JP Nagar,13.015866,77.621906,166,Low,CDC,2024-01-22
Hepatitis,Kadugodi,12.98219,77.650955,167,Medium,CDC,2024-03-10
Zika Virus,Hebbal,12.908755,77.599653,409,High,WHO,2024-09-09
Swine Flu,Ulsoor,12.97276,77.668652,491,Low,WHO,2024-02-20
Swine Flu,Majestic,13.148666,77.767519,477,Low,Local Hospital,2024-03-16
Hepatitis,Jayanagar,12.819568,77.550411,99,Low,Local Hospital,2024-09-02
Cholera,Hulimavu,12.968088,77.775024,392,Medium,Local Hospital,2024-05-02
Tuberculosis,Gandhinagar,13.152957,77.764138,90,High,WHO,2024-08-25
Cholera,Chickpet,12.957161,77.743222,136,High,Local Hospital,2024-10-16
Hepatitis,Ulsoor,13.091122,77.730455,485,High,WHO,2024-02-22
Hepatitis,Hebbal,13.183545,77.612374,477,High,CDC,2024-04-04
Cholera,Domlur,12.870915,77.604335,137,High,Local Hospital,2024-01-21
Swine Flu,Malleshwaram,13.16569,77.589859,268,Medium,CDC,2024-04-21
Zika Virus,Kasturi Nagar,12.951239,77.640676,138,Medium,CDC,2024-09-26
Zika Virus,Chickpet,13.127607,77.592546,179,High,HealthMap,2024-10-27
Cholera,Banaswadi,13.122715,77.606997,87,High,CDC,2024-09-06
Dengue,Indiranagar,13.157027,77.7823,351,Medium,User Report,2024-10-13
Cholera,Kadugodi,13.086896,77.584088,246,High,WHO,2024-06-26
Cholera,TC Palya,13.12248,77.586406,118,Low,WHO,2024-08-10
Tuberculosis,Kammanahalli,12.812164,77.51298,246,Low,HealthMap,2024-02-27
Tuberculosis,Banashankari,12.828253,77.684237,490,Medium,Local Hospital,2024-12-21
Zika Virus,TC Palya,13.084468,77.594416,239,Medium,Local Hospital,2024-02-14
Dengue,Shivajinagar,12.800203,77.549811,90,Low,Local Hospital,2024-02-18
Malaria,Banashankari,13.122236,77.779744,335,Medium,WHO,2024-07-20
Tuberculosis,Hulimavu,13.116694,77.630561,188,Low,Local Hospital,2024-06-09
Cholera,Banashankari,13.102869,77.779886,241,High,User Report,2024-09-17
Hepatitis,Lalbagh,12.961009,77.54175,473,Medium,WHO,2024-02-21
Malaria,Yelahanka,12.813677,77.790823,394,High,CDC,2024-05-04
Cholera,Wilson Garden,13.008611,77.772882,433,Medium,CDC,2024-02-14
Tuberculosis,Marathahalli,12.9154,77.670905,297,Low,User Report,2024-06-18
Cholera,Peenya,13.165901,77.664986,253,Low,CDC,2024-10-18
Dengue,MG Road,12.819946,77.756283,105,Medium,CDC,2024-08-05
Cholera,Banaswadi,12.817827,77.658245,312,High,HealthMap,2024-04-09
Hepatitis,Magadi Road,12.952612,77.710157,157,Low,CDC,2024-11-27
Malaria,KR Puram,13.091013,77.687564,179,High,WHO,2024-08-07
Malaria,Magadi Road,13.145927,77.648164,470,Medium,HealthMap,2024-01-17
COVID-19,Rajajinagar,12.824882,77.772373,392,Low,User Report,2024-03-22
Cholera,Jayanagar,12.820362,77.590916,463,High,WHO,2024-05-18
Swine Flu,Magadi Road,13.077009,77.697816,376,High,Local Hospital,2024-09-20
Zika Virus,Hulimavu,12.89753,77.577234,71,Low,CDC,2024-05-06
Malaria,JP Nagar,12.998134,77.701543,355,High,WHO,2024-05-14
Zika Virus,KR Market,12.841678,77.748842,95,Medium,CDC,2024-05-23
Dengue,Hennur,13.069721,77.697256,334,Medium,CDC,2024-01-08
Malaria,Sahakar Nagar,12.809387,77.504534,171,High,User Report,2024-03-13
COVID-19,Kengeri,12.884354,77.781956,443,High,User Report,2024-01-01
Tuberculosis,KR Market,12.889786,77.785709,282,High,WHO,2024-04-22
Tuberculosis,Bommanahalli,12.803208,77.693129,220,Low,CDC,2024-06-24
Malaria,Rajajinagar,13.008926,77.647744,415,Low,HealthMap,2024-01-09
Tuberculosis,Kasturi Nagar,13.050132,77.524527,353,High,HealthMap,2024-04-26
Malaria,Ulsoor,13.052049,77.587284,450,High,Local Hospital,2024-10-22
Malaria,Chickpet,13.028244,77.691989,114,Low,HealthMap,2024-12-09
Dengue,Majestic,13.07149,77.611255,434,Medium,CDC,2024-05-11
Dengue,KR Puram,12.968402,77.530676,194,Low,WHO,2024-04-20
